HYBAS_ID,area_total_ha,D5_mineria_ha,D5_proporcion
6090117510,1697.1038460740276,59.01079937255861,0.03477147229915862
6090114630,205.69137201296644,0.0,0.0
6090118350,1840.9325334433795,0.0,0.0
6090118450,170.90976477810713,0.0,0.0
6090114410,2658.099190555539,0.0,0.0
6090109750,715.6584875950401,0.0,0.0
6090107480,1471.534754328118,0.0,0.0
6090090600,390.5786125643496,0.0,0.0
6090089410,361.0571415265532,0.0,0.0
6090082800,482.7341213923948,0.0,0.0
6090080550,220.95017107721338,0.0,0.0
6090082720,105.86356565042757,0.0,0.0
6090082810,201.31364726408248,0.0,0.0
6090084260,169.5735984977602,0.0,0.0
6090000130,26080.64440463954,1.4149864929199218,5.425427650354402E-5
6090000150,27238.609164135985,0.0,0.0
6090000170,58135.416419230474,2.3900722839355466,4.111215556968025E-5
6090000200,126.05975490492585,0.0,0.0
6090034390,707.6968761549952,0.0,0.0
6090034410,2010.2271262052443,0.0,0.0
6090034430,450.144888326686,0.0,0.0
6090000100,4138.563943785036,0.0,0.0
6090000140,1178.827235592194,0.0,0.0
6090000160,14275.180881287431,0.0,0.0
6090000180,2740.903902372489,0.0,0.0
6090000210,40188.99920063581,0.0,0.0
6090034400,3723.639251733584,0.0,0.0
6090034420,429.02386362910494,0.0,0.0
6090034440,200.9994831060152,0.0,0.0
